Plant,Category,Climate Conditions,Temperature Range (°C),Light Intensity (hours/day),Relative Humidity (%),Annual Precipitation (mm),Wind Conditions,Soil Moisture,Soil Nutrients,Atmospheric Gases,Altitude (m),Topography,Frost,Heat Stress,Cold Stress,Day Length (hours),Air Quality,Other
Olive,Oil-producing Plants,Mediterranean,10-25,6-12,40-70,300-800,Moderate,Moist,Well-balanced,Normal,0-2000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Bottle gourd (used for containers),Utility Plants,Tropical,20-35,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Belladonna,Psychoactive Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Cannabis (Cannabis spp.),Psychoactive Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Chocolate (Theobroma cacao),Psychoactive Plants,Tropical,20-35,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Coffee (Coffea arabica),Psychoactive Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Cola,Psychoactive Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Opium poppy (Papaver somniferum),Psychoactive Plants,Temperate,0-30,6-12,40-100,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Quinine,Psychoactive Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Tea (Camellia sinensis),Psychoactive Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Tobacco,Psychoactive Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Cannabis (hemp),Fiber Plants,Temperate,0-30,6-12,40-100,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Cotton,Fiber Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Flax,Fiber Plants,Temperate,0-30,6-12,40-100,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Henequen (sisal - henequin - etc.),Fiber Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Jute,Fiber Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Kenaf,Fiber Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Manila hemp,Fiber Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Aloe vera,Medicinal Plants,Tropical,20-35,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Cannabis,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Chamomile,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Coca,Medicinal Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Daisy,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Ginkgo,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Ginseng,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Hoodia,Medicinal Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Jasmine,Medicinal Plants,Tropical,20-30,8-12,70-150,800-3000,High,Moist,Well-balanced,Normal,0-2000,Slopes,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Lavender,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Lemon balm,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Lotus,Medicinal Plants,Tropical,20-35,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Marigold,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Milk thistle,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Moringa,Medicinal Plants,Tropical,20-35,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Opium Poppy,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Peppermint,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Rosemary,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
Sage,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
San pedro cactus,Medicinal Plants,Tropical,20-35,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Tea tree,Medicinal Plants,Temperate,0-30,6-12,40-80,400-1200,Moderate,Moist,Well-balanced,Normal,0-3000,Flat,No,Occasional,Cold-tolerant,12-16,Good,None
